Rz	Treatment	Replicate	Layer	maxDepth	RDW
3	Sync1	1	0-10 cm	10	0.153202
3	Sync1	1	10-20 cm	20	0.055916
3	Sync1	1	20-30 cm	30	0.02228
3	Sync1	1	30-40 cm	40	0.010505
3	Sync1	1	40-50 cm	50	0.005288
3	Sync1	1	50-60 cm	60	0.001773
43	Sync1	2	0-10 cm	10	0.116085
43	Sync1	2	10-20 cm	20	0.0502032
43	Sync1	2	20-30 cm	30	0.009185
43	Sync1	2	30-40 cm	40	0.003491
43	Sync1	2	40-50 cm	50	0.002238
43	Sync1	2	50-60 cm	60	0.002005
42	Sync1	3	0-10 cm	10	0.173165
42	Sync1	3	10-20 cm	20	0.06634
42	Sync1	3	20-30 cm	30	0.025037
42	Sync1	3	30-40 cm	40	0.010781
42	Sync1	3	40-50 cm	50	0.003651
42	Sync1	3	50-60 cm	60	0.00244
16	Sync1	4	0-10 cm	10	0.12642
16	Sync1	4	10-20 cm	20	0.04019
16	Sync1	4	20-30 cm	30	0.015234
16	Sync1	4	30-40 cm	40	0.010323
16	Sync1	4	40-50 cm	50	0.006351
16	Sync1	4	50-60 cm	60	0.003097
130	Sync1	5	0-10 cm	10	0.176043
130	Sync1	5	10-20 cm	20	0.068022
130	Sync1	5	20-30 cm	30	0.012242
130	Sync1	5	30-40 cm	40	0.007356
130	Sync1	5	40-50 cm	50	0.006665
130	Sync1	5	50-60 cm	60	0.005088
13	Sync1	6	0-10 cm	10	0.147889
13	Sync1	6	10-20 cm	20	0.055482
13	Sync1	6	20-30 cm	30	0.015405
13	Sync1	6	30-40 cm	40	0.0068
13	Sync1	6	40-50 cm	50	0.005097
13	Sync1	6	50-60 cm	60	0.003908
22	Sync1	7	0-10 cm	10	0.16385
22	Sync1	7	10-20 cm	20	0.06371
22	Sync1	7	20-30 cm	30	0.013122
22	Sync1	7	30-40 cm	40	0.005867
22	Sync1	7	40-50 cm	50	0.00291
22	Sync1	7	50-60 cm	60	0.000926
53	Sync2	1	0-10 cm	10	0.029539
53	Sync2	1	10-20 cm	20	0.008456
53	Sync2	1	20-30 cm	30	0.001756
53	Sync2	1	30-40 cm	40	0.00115
53	Sync2	1	40-50 cm	50	0.000612
53	Sync2	1	50-60 cm	60	0.000257
40	Sync2	2	0-10 cm	10	0.032993
40	Sync2	2	10-20 cm	20	0.008569
40	Sync2	2	20-30 cm	30	0.0018
40	Sync2	2	30-40 cm	40	0.000392
40	Sync2	2	40-50 cm	50	0
40	Sync2	2	50-60 cm	60	0
9	Sync2	3	0-10 cm	10	0.043312
9	Sync2	3	10-20 cm	20	0.008114
9	Sync2	3	20-30 cm	30	0.001914
9	Sync2	3	30-40 cm	40	0.00119
9	Sync2	3	40-50 cm	50	0.000135
9	Sync2	3	50-60 cm	60	0
57	Sync2	4	0-10 cm	10	0.04008
57	Sync2	4	10-20 cm	20	0.009317
57	Sync2	4	20-30 cm	30	0.001709
57	Sync2	4	30-40 cm	40	0
57	Sync2	4	40-50 cm	50	0
57	Sync2	4	50-60 cm	60	0
48	Sync2	7	0-10 cm	10	0.029729
48	Sync2	7	10-20 cm	20	0.015394
48	Sync2	7	20-30 cm	30	0.003201
48	Sync2	7	30-40 cm	40	0.001794
48	Sync2	7	40-50 cm	50	0.00161
48	Sync2	7	50-60 cm	60	0.000146
23	F-first	1	0-10 cm	10	0.078453
23	F-first	1	10-20 cm	20	0.042511
23	F-first	1	20-30 cm	30	0.009975
23	F-first	1	30-40 cm	40	0.001945
23	F-first	1	40-50 cm	50	0.001283
23	F-first	1	50-60 cm	60	0
14	F-first	2	0-10 cm	10	0.059357
14	F-first	2	10-20 cm	20	0.018014
14	F-first	2	20-30 cm	30	0.004615
14	F-first	2	30-40 cm	40	0.002231
14	F-first	2	40-50 cm	50	0.001221
14	F-first	2	50-60 cm	60	0.000818
131	F-first	3	0-10 cm	10	0.076812
131	F-first	3	10-20 cm	20	0.02021
131	F-first	3	20-30 cm	30	0.005983
131	F-first	3	30-40 cm	40	0.00283
131	F-first	3	40-50 cm	50	0.002471
131	F-first	3	50-60 cm	60	0.001994
49	F-first	5	0-10 cm	10	0.06599
49	F-first	5	10-20 cm	20	0.031241
49	F-first	5	20-30 cm	30	0.006011
49	F-first	5	30-40 cm	40	0.002264
49	F-first	5	40-50 cm	50	0.001744
49	F-first	5	50-60 cm	60	0.00153
19	F-first	6	0-10 cm	10	0.07054
19	F-first	6	10-20 cm	20	0.024242
