Treatment	Replicate	Rz	Tp	Lc	Ms	Fr	Hl	Dg	Cj	Lv	Am	Legumes	Grasses	Forbs	Total
Sync1	1	3	0.08431	0.04716	0.27549	0.04925	0.12954	0.17517	0.11986	0.08286	0.02283	0.40696	0.35396	0.22555	0.98647
Sync2	1	53	0.02359	0.00965	0.07747	0.01088	0.00784	0.03115	0.01231	0.01891	0.00652	0.11071	0.04987	0.03774	0.19832
L-first	1	135	0.16117	0.02393	0.0489	0.00416	0.00564	0.03102	0.01516	0.01759	0.00965	0.234	0.04082	0.0424	0.31722
G-first	1	136	0.02433	0.00922	0.09639	0.05815	0.25688	0.181	0.02918	0.02036	0.00643	0.12994	0.49603	0.05597	0.68194
F-first	1	23	0.03893	0.0116	0.08933	0.01124	0.02186	0.03183	0.23036	0.11539	0.09733	0.13986	0.06493	0.44308	0.64787
Sync1	2	43	0.09745	0.06604	0.0756	0.04533	0.09972	0.17479	0.08892	0.14482	0.12349	0.23909	0.31984	0.35723	0.91616
Sync2	2	40	0.04612	0.01383	0.07588	0.00372	0.01983	0.02778	0.02262	0.0321	0.0123	0.13583	0.05133	0.06702	0.25418
L-first	2	31	0.09862	0.05302	0.30942	0.0082	0.0113	0.03404	0.01601	0.01822	0.01105	0.46106	0.05354	0.04528	0.55988
G-first	2	30	0.03798	0.01098	0.0332	0.03128	0.10533	0.13107	0.04348	0.01792	0.00956	0.08216	0.26768	0.07096	0.4208
F-first	2	14	0.02279	0.00735	0.04202	0.01067	0.00059	0.03215	0.13124	0.15864	0.11818	0.07216	0.04341	0.40806	0.52363
Sync1	3	42	0.09943	0.01949	0.30091	0.04203	0.11251	0.11372	0.11953	0.06536	0.02975	0.41983	0.26826	0.21464	0.90273
Sync2	3	9	0.05394	0.01176	0.09181	0.001	0.01093	0.03679	0.03651	0.0252	0.01479	0.15751	0.04872	0.0765	0.28273
L-first	3	29	0.09466	0.04043	0.2655	0.00498	0.01267	0.03412	0.02857	0.01969	0.00729	0.40059	0.05177	0.05555	0.50791
G-first	3	18	0.01973	0.01001	0.05422	0.03342	0.16883	0.17887	0.01642	0.02192	0.00538	0.08396	0.38112	0.04372	0.5088
F-first	3	131	0.04499	0.00986	0.04672	0.00567	0.00543	0.02786	0.19087	0.11085	0.08931	0.10157	0.03896	0.39103	0.53156
Sync1	4	16	0.12304	0.02813	0.22949	0.03235	0.10763	0.12292	0.10164	0.07178	0.05798	0.38066	0.2629	0.2314	0.87496
Sync2	4	57	0.04585	0.01991	0.07388	0.01277	0.01272	0.02118	0.01235	0.02528	0.01508	0.13964	0.04667	0.05271	0.23902
L-first	4	26	0.13836	0.03452	0.27924	0.00849	0.01769	0.02661	0.03175	0.01251	0.00776	0.45212	0.05279	0.05202	0.55693
G-first	4	44	0.02596	0.01538	0.07395	0.03356	0.15915	0.16023	0.01598	0.01449	0.00821	0.11529	0.35294	0.03868	0.50691
F-first	4	35	0.03659	NA	0.04306	0.00895	0.01344	0.03264	0.20227	0.10959	0.11044	0.07965	0.05503	0.4223	0.55698
Sync1	5	130	0.10959	0.05595	0.2712	0.03944	0.18828	0.15232	0.06579	0.08279	0.09584	0.43674	0.38004	0.24442	1.0612
Sync2	5	70	0.02556	NA	0.07522	0.01044	0.01461	0.03498	0.02943	0.02037	0.02286	0.10078	0.06003	0.07266	0.23347
L-first	5	15	0.12278	NA	0.18629	0.00913	0.00883	0.02767	0.00667	0.00681	0.01522	0.30907	0.04563	0.0287	0.3834
G-first	5	137	0.01953	0.02109	0.08697	0.0498	0.08376	0.10548	0.01013	0.01701	0.0163	0.12759	0.23904	0.04344	0.41007
F-first	5	49	0.04133	0.01097	0.09429	0.00051	0.01331	0.01927	0.1388	0.079	0.1962	0.14659	0.03309	0.414	0.59368
Sync1	6	13	0.10137	0.03696	0.32793	0.02609	0.18714	0.12244	0.10623	0.0973	0.04542	0.46626	0.33567	0.24895	1.05088
Sync2	6	27	0.01986	NA	0.03372	0.01059	0.01876	0.03783	0.03875	0.02428	0.00865	0.05358	0.06718	0.07168	0.19244
L-first	6	8	0.10403	0.02128	0.20751	0.00526	0.00885	0.01138	0.01039	0.01042	0.01063	0.33282	0.02549	0.03144	0.38975
G-first	6	38	0.02884	0.00859	0.07145	0.03638	0.08796	0.0957	0.03042	0.0295	0.01468	0.10888	0.22004	0.0746	0.40352
F-first	6	19	0.02794	0.00266	0.06334	0.00701	0.00277	0.02468	0.2232	0.07386	0.11961	0.09394	0.03446	0.41667	0.54507
Sync1	7	22	0.11663	0.04209	0.18802	0.04402	0.13756	0.19189	0.14223	0.10573	0.04899	0.34674	0.37347	0.29695	1.01716
Sync2	7	48	0.02678	0.00543	0.05464	0.00085	0.02018	0.03249	0.16276	0.00209	0.00387	0.08685	0.05352	0.16872	0.30909
L-first	7	39	0.16516	0.07728	0.17612	0.00571	0.00325	0.02034	0.00836	0.01351	0.00223	0.41856	0.0293	0.0241	0.47196
G-first	7	25	0.02561	0.00334	0.03348	0.03912	0.16195	0.10586	0.01801	0.00513	0.00757	0.06243	0.30693	0.03071	0.40007
F-first	7	37	0.02834	0.01492	0.07388	0.0062	0.01691	0.02441	0.15106	0.07587	0.0585	0.11714	0.04752	0.28543	0.45009
