Date	Day
2017-08-16	2
2017-08-17	3
2017-08-18	4
2017-08-19	5
2017-08-20	6
2017-08-21	7
2017-08-22	8
2017-08-23	9
2017-08-24	10
2017-08-25	11
2017-08-26	12
2017-08-27	13
2017-08-28	14
2017-08-29	15
2017-08-30	16
2017-08-31	17
2017-09-01	18
2017-09-02	19
2017-09-03	20
2017-09-04	21
2017-09-05	22
2017-09-06	23
2017-09-07	24
2017-09-08	25
2017-09-09	26
2017-09-10	27
2017-09-11	28
2017-09-12	29
2017-09-13	30
2017-09-14	31
2017-09-15	32
2017-09-16	33
2017-09-17	34
2017-09-18	35
2017-09-19	36
2017-09-20	37
2017-09-21	38
2017-09-22	39
2017-09-23	40
2017-09-24	41
2017-09-25	42
2017-09-26	43
2017-09-27	44
